Damage,Tally,
258,1,
260,1,
263,1,
264,3,
266,2,
268,3,
269,1,
270,3,
271,4,
272,2,
273,3,
274,3,
275,1,
276,5,
277,3,
278,6,
279,3,
280,7,
281,3,
282,9,
283,7,
284,3,
285,5,
286,6,
287,8,
288,6,
289,4,
290,4,
291,4,
292,2,
293,3,
294,6,
295,8,
296,7,
297,8,
298,7,
299,3,
300,7,
301,4,
302,2,
303,4,
304,4,
305,2,
306,3,
307,7,
308,3,
309,2,
310,6,
311,2,
312,9,
313,5,
314,5,
316,4,
317,10,
318,1,
319,3,
320,2,
321,2,
322,5,
323,2,
324,5,
325,1,
326,1,
327,1,
329,1,
332,3,
337,1,
