Damage,Tally,
692,1,
695,1,
701,1,
704,1,
707,2,
708,2,
718,1,
720,1,
721,4,
722,2,
724,4,
725,1,
726,2,
727,3,
729,5,
730,2,
731,2,
732,2,
733,1,
734,4,
735,1,
736,5,
737,1,
739,2,
740,2,
741,1,
742,3,
743,1,
745,1,
746,3,
748,1,
749,4,
750,2,
751,1,
752,1,
753,2,
755,3,
756,3,
757,2,
758,1,
760,1,
761,3,
762,1,
763,1,
764,1,
765,2,
766,4,
769,1,
772,1,
773,2,
775,1,
776,3,
778,2,
779,1,
780,1,
781,1,
782,2,
783,1,
784,1,
785,1,
786,1,
787,1,
789,1,
790,4,
792,1,
797,1,
799,1,
802,1,
804,1,
807,1,
810,2,
