Damage,Tally,
1131,1,
1140,1,
1143,1,
1147,1,
1149,1,
1150,1,
1153,2,
1154,1,
1155,1,
1158,1,
1162,1,
1164,1,
1165,2,
1166,1,
1168,2,
1169,3,
1171,1,
1172,1,
1173,1,
1175,2,
1176,2,
1177,2,
1180,2,
1181,1,
1183,2,
1184,2,
1186,2,
1187,3,
1188,4,
1190,5,
1191,2,
1192,2,
1194,2,
1195,2,
1197,1,
1198,3,
1201,4,
1203,6,
1205,2,
1206,2,
1207,2,
1209,1,
1210,2,
1212,1,
1213,3,
1214,5,
1216,6,
1217,2,
1220,2,
1221,2,
1224,1,
1225,3,
1229,1,
1231,5,
1233,5,
1235,1,
1236,3,
1238,6,
1239,3,
1240,3,
1242,2,
1243,3,
1244,3,
1246,4,
1247,3,
1248,3,
1250,2,
1251,2,
1253,2,
1254,1,
1255,3,
1257,2,
1258,2,
1259,1,
1261,4,
1262,1,
1264,2,
1266,3,
1268,2,
1269,1,
1270,2,
1272,1,
1273,1,
1274,3,
1276,1,
1279,1,
1280,1,
1283,1,
1284,3,
1285,1,
1290,1,
1295,1,
1298,2,
1303,1,
1307,1,
1311,1,
