Damage,Tally,
1332,1,
1334,2,
1340,1,
1342,1,
1343,1,
1345,1,
1346,1,
1348,2,
1350,2,
1351,1,
1353,3,
1354,2,
1357,1,
1359,1,
1361,4,
1362,4,
1364,1,
1365,3,
1367,1,
1369,2,
1370,2,
1372,3,
1373,1,
1375,2,
1378,3,
1380,1,
1381,3,
1383,2,
1385,5,
1386,1,
1388,3,
1389,4,
1391,2,
1393,3,
1394,2,
1396,2,
1397,1,
1399,3,
1400,3,
1402,4,
1404,2,
1405,4,
1407,4,
1408,3,
1410,1,
1412,4,
1413,4,
1415,2,
1416,6,
1418,1,
1420,6,
1423,1,
1424,3,
1426,3,
1428,4,
1429,1,
1431,1,
1432,5,
1434,5,
1435,5,
1437,3,
1439,2,
1440,3,
1442,3,
1443,3,
1445,2,
1447,3,
1448,5,
1450,2,
1453,2,
1455,2,
1456,3,
1458,3,
1459,3,
1461,5,
1463,3,
1464,2,
1466,3,
1469,2,
1472,3,
1474,3,
1475,1,
1477,6,
1478,5,
1480,3,
1483,3,
1485,1,
1486,2,
1488,6,
1490,1,
1491,1,
1494,1,
1496,1,
1498,1,
1499,2,
1504,1,
1507,1,
1510,1,
1512,2,
